"name","author","narrator","releasedate","language","hours","mins","total_time_mins","price","avg_rating","max_rating","nr_of_ratings"
Flight of the Dragon Kyn,Susan Fletcher,Angele Masters,"2013-10-18",English,7,30,450,668.00,,5,"0"
"No Fear, Jiyaa!",Ken Spillman,Suki,"2022-03-24",English,0,42,42,112.00,,5,"0"
I Want a Dog,Darcy Pattison,Josiah Bildner,"2021-07-22",English,0,8,8,117.00,,5,"0"
The Story of Corn,Robin Nelson,Book Buddy Digital Media,"2021-01-01",English,0,1,1,164.00,,5,"0"
Raja Kapi,Gulzar,Gulzar,"2020-03-31",Hindi,0,38,38,75.00,"5",5,"1"
Pimpa e il cavallino volante,Altan,Francesca Vettori,"2021-10-07",Italian,0,6,6,36.00,,5,"0"
Y Is for Yak,Laura Purdie Salas,anonymous,"2022-02-28",English,0,6,6,93.00,,5,"0"
Garter Snakes,"Gail Saunders-Smith, Mary R. Dunn",anonymous,"2022-03-01",English,0,2,2,82.00,,5,"0"
Erosion,Darcy Pattison,Brett Tyler,"2021-07-22",English,0,11,11,117.00,,5,"0"
Lions,Bold Kids,Michael Lakeman,"2021-07-22",English,0,9,9,116.00,,5,"0"
Keyboards,Daniel Nunn,anonymous,"2022-03-16",English,0,2,2,82.00,,5,"0"
Katy Perry,Nadia Higgins,Intuitive,"2020-01-24",English,0,21,21,164.00,,5,"0"
Hitler's Canary,Sandi Toksvig,Sandi Toksvig,"2020-04-30",English,4,31,271,615.00,,5,"0"
The Truth About Princesses,"Youngsun Kim, Nancy Kelly Allen",anonymous,"2022-03-28",English,0,8,8,93.00,,5,"0"
Torpedoed,Deborah Heiligman,Marisa Calin,"2019-10-08",English,6,19,379,134.00,,5,"0"
Homesick,Jean Fritz,Jean Fritz,"2013-11-01",English,4,28,268,468.00,,5,"0"
If I Had a Hammer,David Rubel,Dan John Miller,"2010-08-24",English,3,10,190,469.00,,5,"0"
Radioactive!,fred Conkling,Andrea Gallo,"2016-01-05",English,6,20,380,703.00,,5,"0"
"Cash, Credit Cards, or Checks","Nancy Loewen, Brad Fitzpatrick",anonymous,"2022-04-01",English,0,5,5,82.00,,5,"0"
Analyzing Doggie Data,Marcie Aboff,Anonymous,"2022-03-03",English,0,8,8,82.00,,5,"0"
Multiply on the Fly,Suzanne Slade,Donna German,"2015-11-12",English,0,2,2,23.00,,5,"0"
Rai-taro,Karl Albrecht Heise,Karlheinz Gabor,"2022-01-04",German,0,10,10,32.00,,5,"0"
The Boy Who Cried Wolf,"Aesop, BKFK Studio",Grant Swanby,"2022-02-08",English,0,5,5,116.00,,5,"0"
Die Lichte,Hans Christian Andersen,Karlheinz Gabor,"2022-01-04",German,0,7,7,32.00,,5,"0"
Toy Story,Disney Book Group,Disney Book Group,"2020-10-07",English,0,30,30,117.00,,5,"0"
Chilling Cemeteries,Joyce Markovics,Michael Gillick,"2020-01-28",English,0,4,4,234.00,,5,"0"
Snow White,"Jacob Grimm, Wilhelm Grimm",Catherine Lutz,"2007-12-30",English,0,24,24,99.00,,5,"0"
I Am Golden,Eva Chen,Eva Chen,"2022-02-01",English,0,7,7,13.00,,5,"0"
The Real Santa,Nancy Redd,Torian Brackett,"2021-10-26",English,0,6,6,251.00,,5,"0"
The Mask of Aribella,Anna Hoghton,Chris Devon,"2020-04-23",English,6,0,360,645.00,,5,"0"
Dumping Princes,Tyne O'Connell,icky Talacko,"2008-10-29",English,6,35,395,585.00,,5,"0"
The Gift of the Magi,O. Henry,Shawn Ryskamp,"2007-12-30",English,0,15,15,65.00,,5,"0"
Oggie Cooder,Sarah Weeks,William Dufris,"2009-10-01",English,2,10,130,422.00,,5,"0"
Alle Jahre wieder,Juli Zeh,Julia Nachtmann,"2020-10-01",German,0,47,47,233.00,,5,"0"
Charlie & Mouse Even Better,Laurel Snyder,Christopher Carley,"2019-07-11",English,0,11,11,82.00,,5,"0"
The Graveyard Book,Neil Gaiman,il Gaiman,"2008-10-30",English,7,43,463,451.00,"4.5",5,"266"
Car Shopping,"Brian Jensen, Jill L. Donahue",anonymous,"2022-04-01",English,0,2,2,82.00,,5,"0"
La Schtroumpfette,Peyo,Ronan Ducolomb,"2022-01-27",French,0,6,6,111.00,,5,"0"
Mä tuun mukaan,Raili Mikkanen,Ari-Matti Hedman,"2022-01-27",Finnish,0,59,59,65.00,,5,"0"
The Ghoul of Windydown Vale,Jake Burt,Ramon De Ocampo,"2022-02-25",English,7,22,442,703.00,,5,"0"
Bad Blood,Carly Anne West,Oliver Wyman,"2019-12-26",English,6,32,392,492.00,,5,"0"
Fins,Randy Wayne White,Tristan Morris,"2020-03-31",English,6,46,406,134.00,,5,"0"
The Lost Sheep,Allan H. Kelly,Frances H. Kelley,"2008-08-08",English,0,8,8,421.00,,5,"0"
The Colors of Israel,Rachel Raz,Book Buddy Digital Media,"2017-05-09",English,0,2,2,164.00,,5,"0"
Clang!,Darcy Pattison,Josiah Bildner,"2021-11-30",English,0,9,9,117.00,,5,"0"
Take Your Pick of Haunted Places,G. G. Lake,anonymous,"2022-02-28",English,0,14,14,93.00,,5,"0"
Mini Mind Controllers,Joan Axelrod-Contrada,anonymous,"2022-03-15",English,0,20,20,93.00,,5,"0"
It's Cloudy Today,Kristin Sterling,Intuitive,"2017-05-12",English,0,3,3,164.00,,5,"0"
Studying Soil,Sally M. Walker,Intuitive,"2020-01-28",English,0,12,12,164.00,,5,"0"
Up! Up! Up! Skyscraper,Anastasia Suen,Lauren McCullough,"2019-11-19",English,0,6,6,63.00,,5,"0"
En herlig grisebasse,"Disney, Heidi Skriver Olsen",Sonny Lahey,"2021-11-26",Danish,1,20,80,233.00,,5,"0"
Der kleine Vampir in der Höhle des Löwen,Angela Sommer-Bodenburg,Katharina Thalbach,"2021-07-28",German,3,1,181,267.00,,5,"0"
The Broken Spell,Erika McGann,Amy McAllister,"2021-08-01",English,5,37,337,664.00,,5,"0"
Camels,Rose Davin,Anonymous,"2022-02-21",English,0,2,2,82.00,,5,"0"
Unsouled,Neal Shusterman,Luke Daniels,"2014-06-10",English,12,55,775,836.00,,5,"0"
Arriva la Pimpa,Altan,Francesca Vettori,"2021-10-07",Italian,0,19,19,75.00,,5,"0"
Clouds,Helen Cox Cannons,anonymous,"2022-03-16",English,0,3,3,82.00,,5,"0"
Strange but True Animals,Lori Polydoros,anonymous,"2022-02-21",English,0,5,5,93.00,,5,"0"
Saving the Day,Karyn Parsons,Karyn Parsons,"2021-12-07",English,0,12,12,500.00,,5,"0"
John Williams,Darren Henley,Marin Alsop,"2013-12-02",English,0,17,17,32.00,,5,"0"
Mister T.V.,Julie Fulton,fullcast,"2020-12-08",English,0,17,17,234.00,,5,"0"
El reto de Floki,Alejandro Khan,Pablo Lopez,"2022-01-11",Spanish,0,32,32,76.00,,5,"0"
Troll i huvet,Lasse Ekholm,Kim Bergkvist,"2021-10-28",Swedish,0,51,51,65.00,,5,"0"
Lancelot,uncredited,Jacek Dragun,"2022-03-15",Polish,0,38,38,166.00,,5,"0"
Der Bär,Ignaz Zingerle,Irene Budischowsky,"2021-02-02",German,0,11,11,65.00,,5,"0"
Bedtime Bonnet,Nancy Redd,ncy Redd,"2022-01-04",English,0,4,4,251.00,,5,"0"
Egypt ABCs,Sarah Heiman,anonymous,"2022-03-22",English,0,13,13,93.00,,5,"0"
A Short History of Christmas,Sally Lee,anonymous,"2022-03-15",English,0,2,2,82.00,,5,"0"
It's Easter!,Richard Sebra,Intuitive,"2018-12-24",English,0,1,1,164.00,,5,"0"
Weekends with Dad,Melissa Higgins,anonymous,"2022-04-04",English,0,7,7,82.00,,5,"0"
The Forbidden Forest,Kay S.,Suki,"2022-03-24",English,0,29,29,116.00,,5,"0"
Moonlocket,Peter Bunzl,Rachael Beresford,"2017-05-04",English,7,54,474,596.00,,5,"0"
Recipe for Disaster!,Tom Angleberger,Mark Turetsky,"2019-03-20",English,0,44,44,99.00,,5,"0"
Electricity,Abbie Dunne,anonymous,"2022-03-29",English,0,4,4,82.00,,5,"0"
Unusual Traits,Buffy Silverman,Intuitive,"2017-05-12",English,0,3,3,164.00,,5,"0"
Girl 6,Mirjam Mous,Leonoor Koster,"2021-12-29",Dutch,2,9,129,267.00,,5,"0"
Geronimo Stilton #11 & #12,Geronimo Stilton,Bill Lobely,"2008-08-04",English,2,20,140,468.00,"5",5,"34"
The Burning Maze,Rick Riordan,Robbie Daymond,"2018-05-01",English,13,8,788,820.00,"4.5",5,"41"
The Deep End,Jeff Kinney,Dan Russell,"2020-11-06",English,2,3,123,410.00,"4.5",5,"38"
Daughter of the Deep,Rick Riordan,Soneela Nankani,"2021-10-05",English,11,16,676,615.00,"4.5",5,"12"
The Hunger Games: Special Edition,Suzanne Collins,Tatiana Maslany,"2018-10-30",English,10,35,635,656.00,"5",5,"72"
Brisca,Andreu Martín,Cristina Fargas,"2021-09-01",Spanish,1,53,113,153.00,,5,"0"
The Mighty Odds,Amy Ignatow,Begle,"2019-02-19",English,3,45,225,234.00,,5,"0"
Zebras,Mari Schuh,Anonymous,"2022-03-01",English,0,1,1,82.00,,5,"0"
Justin Bieber,Mari Bolte,anonymous,"2022-03-02",English,0,24,24,93.00,,5,"0"
Marienkind,Brüder Grimm,Reiner Unglaub,"2022-04-04",German,0,12,12,65.00,,5,"0"
A Very Special Gift,Laura Loyola,Sarah Bacaller,"2022-01-08",English,0,16,16,176.00,,5,"0"
A Fairytale,Dina Gregory,Holli Dempsey,"2020-05-22",English,0,7,7,113.00,,5,"0"
This Little Piggy,BBCAudiobooks,fullcast,"2006-11-20",English,0,41,41,273.00,,5,"0"
The Big Wander,ll Hobbs,Ed Sala,"2012-05-23",English,5,50,350,703.00,,5,"0"
Advent,Minds,Jude Beaumont,"2009-12-08",English,0,5,5,33.00,,5,"0"
Das Findelkind,Thomas Meik,Tobias Meik,"2021-03-01",German,0,34,34,32.00,,5,"0"
Evolution,Minds,Leah Vandenburg,"2009-10-20",English,0,5,5,33.00,,5,"0"
The Tower of Nero,Rick Riordan,Robbie Daymond,"2020-10-06",English,12,12,732,615.00,"5",5,"79"
"Eldest: The Inheritance Cycle, Book 2",Christopher Paolini,Gerrard Doyle,"2009-04-14",English,23,29,1409,957.00,"4.5",5,"47"
Artemis Fowl,Eoin Colfer,Gerry O'Brien,"2013-04-11",English,6,46,406,683.00,"5",5,"27"
Snail's Ark,Irene Latham,Shayna Small,"2022-02-08",English,0,4,4,251.00,,5,"0"
Bright Star,Yuyi Morales,Yuyi Morales,"2021-12-07",English,0,11,11,234.00,,5,"0"
Buttons and Beads,Daniel Nunn,anonymous,"2022-03-16",English,0,4,4,82.00,,5,"0"
Haut les mains,Guy Prunier,Guy Prunier,"2020-07-08",French,0,29,29,99.00,,5,"0"
The Library,Blake A. Hoena,anonymous,"2022-03-02",English,0,1,1,82.00,,5,"0"
The Frog Prince,Brothers Grimm,Tamsin Greig,"2012-10-04",English,0,14,14,83.00,,5,"0"
What a Kick,Emma Carlson-Berne,anonymous,"2022-03-22",English,1,14,74,140.00,,5,"0"
The Boys' War,Jim Murphy,Ed Sala,"2006-02-10",English,2,0,120,333.00,,5,"0"
Mother Ghost,Rachel Kolar,Tamara Ryan,"2019-11-19",English,0,6,6,63.00,,5,"0"
It's Diwali!,Richard Sebra,Intuitive,"2019-01-28",English,0,1,1,164.00,,5,"0"
Jackaby,lliam Ritter,icola Barber,"2014-09-16",English,7,21,441,492.00,,5,"0"
Phoebe the Spy,Judith Griffin,Allyson Johnson,"2019-01-08",English,0,32,32,402.00,,5,"0"
Rain Showers,Kathryn Clay,anonymous,"2022-03-15",English,0,1,1,82.00,,5,"0"
Wired,Anastasia Suen,Adam Weber,"2019-11-29",English,0,12,12,82.00,,5,"0"
All About Robots,Lisa J. Amstutz,Lauren McCullough,"2018-04-24",English,0,11,11,93.00,,5,"0"
"The Titan's Curse: Percy Jackson, Book 3",Rick Riordan,Jesse Bernstein,"2010-01-14",English,8,48,528,820.00,"4.5",5,"130"
Magic Tree House Collection: Books 9-16,Mary Pope Osborne,Mary Pope Osborne,"2011-08-24",English,5,23,323,1206.00,"5",5,"6"
Magic Tree House Collection: Books 1-8,Mary Pope Osborne,Mary Pope Osborne,"2011-09-27",English,6,1,361,1206.00,"5",5,"7"
Northern Lights,Philip Pullman,"Philip Pullman, fullcast, Ruth Wilson","2021-06-24",English,11,55,715,1093.00,"4",5,"2"
Geronimo Stilton #13 and #14,Geronimo Stilton,Bill Lobley,"2008-02-08",English,2,25,145,467.00,"4.5",5,"33"
Magic Tree House Collection,Mary Pope Osborne,Mary Pope Osborne,"2004-12-26",English,5,4,304,1206.00,"5",5,"7"
El paseo encantado,Mattel,Vanessa Pérez Jurado,"2022-04-01",Spanish,0,33,33,76.00,,5,"0"
Mountain Mare,Terri Farley,lie Budig,"2022-01-25",English,3,55,235,398.00,,5,"0"
Bin Boy,Tom Vaughan,Sam Newton,"2021-08-12",English,6,6,366,903.00,,5,"0"
Games Around the World,Clare Lewis,anonymous,"2022-03-16",English,0,2,2,82.00,,5,"0"
T-Rex,Bold Kids,Michael Lakeman,"2021-07-21",English,0,9,9,116.00,,5,"0"
I Am Walt Disney,Brad Meltzer,Various,"2019-09-10",English,0,20,20,251.00,,5,"0"
On the Horizon,Lois Lowry,Lois Lowry,"2020-04-07",English,0,38,38,402.00,,5,"0"
Math on the Move,Katie Marsico,Intuitive,"2017-06-26",English,0,24,24,164.00,,5,"0"
Hotaru,Karl Albrecht Heise,Karlheinz Gabor,"2022-01-04",German,0,5,5,32.00,,5,"0"
Aladino,autordesconocido,iversosnarradores,"2022-03-23",Spanish,0,30,30,38.00,,5,"0"
The Grand Canyon,Donald Davis,Donald Davis,"2000-10-20",English,0,48,48,300.00,,5,"0"
The Biggest Little Boy,Poppy Harlow,Poppy Harlow,"2021-11-23",English,0,6,6,251.00,,5,"0"
Oschtergschichte,Jeannette König,Jeannette König,"2021-03-15",German,0,34,34,132.00,,5,"0"
Héros Zéro,Fanny Joly,Fanny Joly,"2020-07-20",French,0,59,59,149.00,,5,"0"
December Dog,Ron Roy,Jim Meskimen,"2014-09-23",English,0,48,48,402.00,,5,"0"
Sister Act,Jen Carney,Ashna Rabheru,"2022-02-03",English,2,45,165,410.00,,5,"0"
People in Fall,Martha E. Rustad,anonymous,"2022-03-15",English,0,1,1,82.00,,5,"0"
Josua bis Rut,N. N.,Barbara Sewien,"2019-08-27",German,0,54,54,166.00,,5,"0"
Mary Magdalene,"Alan Moore, Gill Tavner",unknown,"2020-07-27",English,0,48,48,190.00,,5,"0"
All About Coding,Angie Smibert,Lauren McCullough,"2018-04-24",English,0,10,10,93.00,,5,"0"
Octopuses,Derek Zobel,Dana Fleming,"2020-07-20",English,0,2,2,93.00,,5,"0"
Can't Stop Cody!,"Abhay Prasad, Nanditta Chibber",Priya Krishnan,"2022-03-01",English,2,0,120,137.00,,5,"0"
Anacondas,"Gail Saunders-Smith, Melissa Higgins",Anonymous,"2022-02-21",English,0,2,2,82.00,,5,"0"
Les grandes histoires de Petit Ours Brun à écouter - Compilation (Vol. 1),"Marie Aubinais, Nathalie Savey",Dorothée Pousséo,"2022-02-17",French,0,52,52,567.00,,5,"0"
Everybunny Loves Magic,Aaron Reynolds,Christopher Gebauer,"2022-03-08",English,4,42,282,586.00,,5,"0"
Кот да Винчи. Похищение в день рождения,Катя Матюшкина,"Семен Мендельсон, Ксения Бржезовская","2022-02-15",Russian,2,37,157,166.00,,5,"0"
The Human Body,Ladybird,Ben Bailey Smith,"2020-09-17",English,0,43,43,410.00,,5,"0"
Phantom Stallion: Blue Wings,Terri Farley,lie Budig,"2022-03-29",English,4,22,262,398.00,,5,"0"
Peter Rabbit 2,Puffin,Emilia Fox,"2020-01-23",English,3,28,208,615.00,,5,"0"
Restaurant,Jennifer Colby,Tamara Ryan,"2019-11-15",English,0,4,4,63.00,,5,"0"
Gift Horse,Terri Farley,lie Budig,"2021-08-10",English,4,55,295,398.00,,5,"0"
Vega Jane and the Rebels' Revolt,"David Baldacci, Tomislav Tomic-illustrator",Katy Sobey,"2021-09-16",English,9,5,545,323.00,,5,"0"
The Boy with Wings,"Lenny Henry, Keenon Ferrell-illustrator",Lenny Henry,"2021-10-14",English,3,49,229,323.00,,5,"0"
Tuesday: The Curse of the Blue Spots,Ralph Lazar,"River De Filippis, Christine Louise Marshall, Lance Roger Axt","2021-08-03",English,0,50,50,492.00,,5,"0"
The Sound of Danger,Mac Barnett,Mac Barnett,"2020-11-16",English,1,46,106,1172.00,,5,"0"
Scorpia Rising,Anthony Horowitz,Dan Stevens,"2020-04-09",English,9,26,566,645.00,"5",5,"2"
The Sign in the Smoke,Carolyn Keene,Jorjeana Marie,"2016-05-10",English,4,31,271,305.00,"4.5",5,"7"
Ark Angel,Anthony Horowitz,Oliver Chris,"2020-01-30",English,8,22,502,645.00,"4.5",5,"3"
Minecraft: The End,Catherynne M. Valente,Emily Schaffer,"2019-12-05",English,8,11,491,888.00,"4.5",5,"6"
The Ghost in the First Row,Gertrude Chandler Warner,Aimee Lilly,"2013-12-29",English,1,29,89,305.00,,5,"0"
Resist,Alan Gratz,Vaneh Assadourian,"2020-09-01",English,1,26,86,328.00,,5,"0"
Treasure Hunters: Quest for the City of Gold,James Patterson,Bryan Kennedy,"2018-01-25",English,5,11,311,615.00,,5,"0"
Anton og farmor på havets bund,"Thomas Brunstrøm, Thorbjørn Christoffersen",Thomas Brunstrøm,"2022-03-23",Danish,0,14,14,32.00,,5,"0"
Un topo en el Antiguo Egipto,"Martí Gironell, Coaner Codina-illustrator",Martí Gironell,"2022-03-22",Spanish,0,14,14,384.00,,5,"0"
La lista mágica de animales,"Andreu Buenafuente, Grilloencasa-illustrator",Andreu Buenafuente,"2022-03-23",Spanish,0,6,6,384.00,,5,"0"
Un topo en mi jardín,"Martí Gironell, Coaner Codina-illustrator",Martí Gironell,"2022-03-22",Spanish,0,15,15,384.00,,5,"0"
